D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,2.31108E-08,3.09269E-07,0.065396331,1.585604372,0.257911947,0.000001,0,0,0,0.369381859,0.974164746,0.058856829,0.000001,0,0,0,1.26039223,0.717122613,0.02883984,0.000001,0,0,0,2.971379664,0.73111717,0.032144154,0.000001,0,0,0,10.73410259,1.128032847,0.103011368,0.000001,0,0,0,37.62039797,0.874686951,0.225881167
0.38,0.854556816,0.869192224,0.883827631,,,,0.38,0.487907967,0.51165208,0.535396194,,,,0.38,0.034159532,0.041722435,0.049285339,,,,0.38,0.000374663,0.000636415,0.000898167,,,,0.38,4.12194E-06,1.45213E-05,2.49207E-05,,,,0.38,0,2.30326E-07,5.96913E-07,,,
0.39,0.858501177,0.872688276,0.886875374,,,,0.39,0.498967538,0.52230591,0.545644283,,,,0.39,0.037325511,0.045279241,0.053232971,,,,0.39,0.000444766,0.00074277,0.001040773,,,,0.39,5.25296E-06,1.75686E-05,2.98843E-05,,,,0.39,0,2.8551E-07,7.31714E-07,,,
0.4,0.862267921,0.87603243,0.88979694,,,,0.4,0.509728497,0.53266617,0.555603843,,,,0.4,0.040632477,0.048972881,0.057313285,,,,0.4,0.000524351,0.000861788,0.001199225,,,,0.4,6.61617E-06,2.11078E-05,3.55994E-05,,,,0.4,0,3.51251E-07,8.9053E-07,,,
0.41,0.865868038,0.879233991,0.892599945,,,,0.41,0.520198076,0.542741119,0.565284162,,,,0.41,0.044077322,0.05279936,0.061521397,,,,0.41,0.000614187,0.000994327,0.001374468,,,,0.41,8.24482E-06,2.51939E-05,4.21429E-05,,,,0.41,0,4.29059E-07,1.07649E-06,,,
0.42,0.869311658,0.882301525,0.895291392,,,,0.42,0.530383607,0.552538949,0.574694291,,,,0.42,0.047656682,0.056754507,0.065852333,,,,0.42,0.000715057,0.001141248,0.001567439,,,,0.42,1.01749E-05,2.98851E-05,4.95952E-05,,,,0.42,0,5.20587E-07,1.29298E-06,,,
0.43,0.872608131,0.885242929,0.897877727,,,,0.43,0.540292473,0.56206775,0.583843026,,,,0.43,0.051366968,0.060834008,0.070301048,,,,0.43,0.000827751,0.001303406,0.001779061,,,,0.43,1.2445E-05,3.52427E-05,5.80404E-05,,,,0.43,0,6.27631E-07,1.54362E-06,,,
0.44,0.875766102,0.8880655,0.900364898,,,,0.44,0.549932066,0.571335487,0.592738909,,,,0.44,0.055204402,0.065033432,0.074862462,,,,0.44,0.000953064,0.001481653,0.002010242,,,,0.44,1.50966E-05,4.13312E-05,6.75657E-05,,,,0.44,0,7.52138E-07,1.8323E-06,,,
0.45,0.878793572,0.890775986,0.902758401,,,,0.45,0.559309747,0.58034998,0.601390212,,,,0.45,0.05916504,0.069348258,0.079531476,,,,0.45,0.001091796,0.001676833,0.002261869,,,,0.45,1.81738E-05,4.82176E-05,7.82614E-05,,,,0.45,0,8.96207E-07,2.16318E-06,,,
0.46,0.88169796,0.89338064,0.905063321,,,,0.46,0.568432823,0.589118885,0.609804947,,,,0.46,0.063244808,0.073773904,0.084302999,,,,0.46,0.001244745,0.001889776,0.002534808,,,,0.46,2.17233E-05,5.59721E-05,9.02208E-05,,,,0.46,0,1.06209E-06,2.54066E-06,,,
0.47,0.884486155,0.895885264,0.907284373,,,,0.47,0.577308518,0.597649689,0.61799086,,,,0.47,0.067439522,0.078305743,0.089171965,,,,0.47,0.001412705,0.002121303,0.0028299,,,,0.47,2.57946E-05,6.46672E-05,0.00010354,,,,0.47,0,1.25222E-06,2.9694E-06,,,
0.48,0.88716456,0.898295247,0.909425934,,,,0.48,0.585943953,0.605949693,0.625955433,,,,0.48,0.071744913,0.082939131,0.094133348,,,,0.48,0.001596466,0.002372214,0.003147961,,,,0.48,3.04396E-05,7.43782E-05,0.000118317,,,,0.48,0,1.46915E-06,3.45435E-06,,,
0.49,0.889739133,0.900615604,0.911492074,,,,0.49,0.594346134,0.614026012,0.63370589,,,,0.49,0.076156651,0.087669416,0.09918218,,,,0.49,0.001796809,0.002643293,0.003489777,,,,0.49,3.57128E-05,8.51827E-05,0.000134653,,,,0.49,0,1.71565E-06,4.00068E-06,,,
0.5,0.892215428,0.902851004,0.91348658,,,,0.5,0.602521932,0.621885568,0.641249204,,,,0.5,0.080670362,0.092491961,0.104313561,,,,0.5,0.002014503,0.002935304,0.003856104,,,,0.5,4.16712E-05,9.71604E-05,0.00015265,,,,0.5,0,1.9946E-06,4.61385E-06,,,
0.51,0.894598623,0.905005804,0.915412986,,,,0.51,0.610478081,0.629535089,0.648592097,,,,0.51,0.085281647,0.097402158,0.10952267,,,,0.51,0.002250307,0.003248986,0.004247666,,,,0.51,4.8374E-05,0.000110393,0.000172412,,,,0.51,0,2.3091E-06,5.29954E-06,,,
0.52,0.896893556,0.907084072,0.917274588,,,,0.52,0.618221162,0.636981106,0.655741049,,,,0.52,0.0899861,0.102395438,0.114804776,,,,0.52,0.002504963,0.003585058,0.004665154,,,,0.52,5.58827E-05,0.000124965,0.000194047,,,,0.52,0,2.66238E-06,6.06372E-06,,,
0.53,0.899104749,0.909089609,0.91907447,,,,0.53,0.625757605,0.644229956,0.662702307,,,,0.53,0.094779323,0.107467284,0.120155246,,,,0.53,0.002779195,0.00394421,0.005109226,,,,0.53,6.4261E-05,0.000140961,0.000217661,,,,0.53,0,3.05784E-06,6.91257E-06,,,
0.54,0.901236433,0.911025974,0.920815515,,,,0.54,0.633093676,0.651287782,0.669481888,,,,0.54,0.099656935,0.112613241,0.125569548,,,,0.54,0.003073712,0.004327108,0.005580503,,,,0.54,7.35747E-05,0.000158469,0.000243363,,,,0.54,0,3.49907E-06,7.85254E-06,,,
0.55,0.903292572,0.912896501,0.922500429,,,,0.55,0.640235482,0.658160535,0.676085589,,,,0.55,0.104614589,0.117828925,0.131043261,,,,0.55,0.003389199,0.004734387,0.006079574,,,,0.55,8.38915E-05,0.000177576,0.000271261,,,,0.55,0,3.98981E-06,8.89028E-06,,,
0.56,0.905276882,0.914704314,0.924131746,,,,0.56,0.647188964,0.664853978,0.682518993,,,,0.56,0.109647982,0.12311003,0.136572077,,,,0.56,0.003726322,0.005166655,0.006606989,,,,0.56,9.52808E-05,0.000198374,0.000301467,,,,0.56,0,4.53395E-06,1.00327E-05,,,
0.57,0.907192849,0.91645235,0.92571185,,,,0.57,0.6539599,0.671373689,0.688787478,,,,0.57,0.114752862,0.128452334,0.142151806,,,,0.57,0.004085722,0.005624491,0.007163261,,,,0.57,0.000107814,0.000220952,0.000334091,,,,0.57,0,5.13557E-06,1.12869E-05,,,
0.58,0.909043747,0.918143364,0.927242981,,,,0.58,0.660553902,0.677725062,0.694896223,,,,0.58,0.119925038,0.133851707,0.147778375,,,,0.58,0.004468017,0.006108443,0.007748868,,,,0.58,0.000121564,0.000245403,0.000369242,,,,0.58,0,5.7989E-06,1.26603E-05,,,
0.59,0.910832655,0.919779951,0.928727248,,,,0.59,0.666976419,0.683913318,0.700850217,,,,0.59,0.125160386,0.139304111,0.153447836,,,,0.59,0.0048738,0.006619027,0.008364253,,,,0.59,0.000136604,0.000271819,0.000407033,,,,0.59,0,6.52832E-06,1.41603E-05,,,
0.6,0.912562467,0.921364553,0.930166638,,,,0.6,0.673232737,0.6899435,0.706654263,,,,0.6,0.130454859,0.144805609,0.159156359,,,,0.6,0.005303637,0.007156728,0.009009819,,,,0.6,0.000153011,0.000300292,0.000447574,,,,0.6,0,7.32838E-06,1.57948E-05,,,
0.61,0.914235909,0.922899468,0.931563027,,,,0.61,0.679327984,0.695820487,0.712312991,,,,0.61,0.135804488,0.150352365,0.164900242,,,,0.61,0.005758069,0.007722002,0.009685935,,,,0.61,0.00017086,0.000330917,0.000490974,,,,0.61,0,8.20377E-06,1.75716E-05,,,
0.62,0.915855548,0.924386866,0.932918183,,,,0.62,0.685267127,0.701548992,0.717830857,,,,0.62,0.141205389,0.155940646,0.170675902,,,,0.62,0.006237607,0.00831527,0.010392933,,,,0.62,0.000190231,0.000363787,0.000537344,,,,0.62,0,9.15934E-06,1.94989E-05,,,
0.63,0.917423805,0.925828794,0.934233782,,,,0.63,0.691054981,0.70713357,0.723212158,,,,0.63,0.146653766,0.161566824,0.176479882,,,,0.63,0.006742736,0.008936923,0.011131111,,,,0.63,0.000211201,0.000398996,0.000586792,,,,0.63,0,1.02001E-05,2.1585E-05,,,
0.64,0.918942964,0.927227185,0.935511406,,,,0.64,0.696696208,0.71257862,0.728461032,,,,0.64,0.152145915,0.16722738,0.182308845,,,,0.64,0.007273914,0.009587322,0.01190073,,,,0.64,0.00023385,0.000436638,0.000639426,,,,0.64,0,1.13311E-05,2.38382E-05,,,
0.65,0.92041518,0.928583867,0.936752554,,,,0.65,0.702195319,0.717888394,0.733581469,,,,0.65,0.157678227,0.172918901,0.188159576,,,,0.65,0.007831567,0.010266792,0.012702017,,,,0.65,0.000258258,0.000476806,0.000695354,,,,0.65,0,1.25577E-05,2.62672E-05,,,
0.66,0.92184249,0.929900569,0.937958647,,,,0.66,0.707556683,0.723066999,0.738577315,,,,0.66,0.163247189,0.178638083,0.194028976,,,,0.66,0.008416095,0.010975632,0.013535168,,,,0.66,0.000284506,0.000519593,0.000754681,,,,0.66,0,1.38853E-05,2.88808E-05,,,
0.67,0.92322682,0.931178926,0.939131033,,,,0.67,0.712784524,0.7281184,0.743452276,,,,0.67,0.168849385,0.184381727,0.199914069,,,,0.67,0.00902787,0.011714106,0.014400343,,,,0.67,0.000312674,0.000565093,0.000817511,,,,0.67,0,1.53193E-05,3.16878E-05,,,
0.68,0.924569989,0.93242049,0.940270992,,,,0.68,0.717882931,0.73304643,0.748209929,,,,0.68,0.174481498,0.190146744,0.20581199,,,,0.68,0.009667233,0.012482451,0.01529767,,,,0.68,0.000342845,0.000613396,0.000883948,,,,0.68,0,1.68655E-05,3.46973E-05,,,
0.69,0.925873722,0.933626731,0.941379739,,,,0.69,0.722855854,0.737854788,0.752853723,,,,0.69,0.180140312,0.195930151,0.21171999,,,,0.69,0.010334498,0.013280872,0.016227246,,,,0.69,0.000375099,0.000664595,0.000954092,,,,0.69,0,1.85297E-05,3.79183E-05,,,
0.7,0.927139652,0.934799041,0.942458431,,,,0.7,0.727707116,0.74254705,0.757386984,,,,0.7,0.18582271,0.201729069,0.217635428,,,,0.7,0.01102995,0.014109544,0.017189139,,,,0.7,0.000409519,0.000718781,0.001028042,,,,0.7,0,2.03176E-05,4.13601E-05,,,
0.71,0.928369323,0.935938746,0.943508168,,,,0.71,0.732440411,0.747126668,0.761812925,,,,0.71,0.191525675,0.207540726,0.223555776,,,,0.71,0.011753845,0.014968615,0.018183385,,,,0.71,0.000446185,0.000776041,0.001105898,,,,0.71,0,2.22354E-05,4.5032E-05,,,
0.72,0.929564204,0.937047101,0.944529998,,,,0.72,0.73705931,0.751596977,0.766134644,,,,0.72,0.197246289,0.213362449,0.229478608,,,,0.72,0.012506414,0.015858203,0.019209993,,,,0.72,0.000485179,0.000836466,0.001187753,,,,0.72,0,2.4289E-05,4.89435E-05,,,
0.73,0.930725685,0.938125302,0.945524918,,,,0.73,0.741567263,0.755961199,0.770355134,,,,0.73,0.202981734,0.219191669,0.235401604,,,,0.73,0.013287857,0.016778401,0.020268944,,,,0.73,0.000526583,0.000900142,0.001273702,,,,0.73,0,2.64848E-05,5.31039E-05,,,
0.74,0.931855086,0.939174484,0.946493882,,,,0.74,0.745967606,0.760222445,0.774477284,,,,0.74,0.208729288,0.225025916,0.241322544,,,,0.74,0.014098351,0.017729271,0.021360191,,,,0.74,0.000570475,0.000967155,0.001363836,,,,0.74,1.34927E-07,2.88289E-05,5.75229E-05,,,
