D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.36,0.818110571,0.828731801,0.839353031,,,,0.36,0.485449271,0.499860515,0.514271758,,,,0.36,0.083109383,0.088806932,0.094504482,,,,0.36,0.006497799,0.007284451,0.008071103,,,,0.36,0.000746553,0.000896316,0.00104608,,,,0.36,2.96846E-05,4.27322E-05,5.57798E-05,,,
0.37,0.822946628,0.833283457,0.843620287,,,,0.37,0.494090476,0.508359287,0.522628099,,,,0.37,0.087027519,0.092877774,0.098728029,,,,0.37,0.007011217,0.007846392,0.008681567,,,,0.37,0.000818631,0.000980462,0.001142292,,,,0.37,3.32388E-05,4.76358E-05,6.20328E-05,,,
0.38,0.827596784,0.837661675,0.847726567,,,,0.38,0.50254117,0.516665964,0.530790757,,,,0.38,0.090991441,0.096991312,0.102991184,,,,0.38,0.007547349,0.008432205,0.009317062,,,,0.38,0.000895149,0.001069579,0.00124401,,,,0.38,3.70926E-05,5.29303E-05,6.87679E-05,,,
0.39,0.832070876,0.841875729,0.851680582,,,,0.39,0.510806734,0.524786333,0.538765933,,,,0.39,0.094998784,0.101145158,0.107291531,,,,0.39,0.008106329,0.009041989,0.009977648,,,,0.39,0.000976216,0.001163782,0.001351347,,,,0.39,4.12606E-05,5.86329E-05,7.60052E-05,,,
0.4,0.836378054,0.845934226,0.855490399,,,,0.4,0.518892363,0.532725959,0.546559555,,,,0.4,0.099047262,0.105337006,0.11162675,,,,0.4,0.008688278,0.009675824,0.01066337,,,,0.4,0.001061943,0.001263178,0.001464414,,,,0.4,4.57576E-05,6.47612E-05,8.37648E-05,,,
0.41,0.840526837,0.849845171,0.859163505,,,,0.41,0.526803072,0.540490188,0.554177303,,,,0.41,0.103134665,0.109564636,0.115994607,,,,0.41,0.009293296,0.010333774,0.011374253,,,,0.41,0.001152435,0.001367876,0.001583317,,,,0.41,5.05984E-05,7.13326E-05,9.20668E-05,,,
0.42,0.84452517,0.853616017,0.862706863,,,,0.42,0.534543706,0.548084162,0.561624617,,,,0.42,0.107258857,0.113825905,0.120392953,,,,0.42,0.009921468,0.011015887,0.012110305,,,,0.42,0.001247796,0.001477977,0.001708159,,,,0.42,5.5798E-05,7.83647E-05,0.000100931,,,
0.43,0.848380477,0.857253714,0.866126952,,,,0.43,0.542118941,0.555512826,0.568906711,,,,0.43,0.111417774,0.118118748,0.124819722,,,,0.43,0.010572863,0.011722192,0.012871522,,,,0.43,0.001348125,0.001593581,0.001839038,,,,0.43,6.13714E-05,8.5875E-05,0.000110379,,,
0.44,0.852099698,0.860764756,0.869429815,,,,0.44,0.549533298,0.562780942,0.576028585,,,,0.44,0.115609418,0.122441172,0.129272926,,,,0.44,0.011247535,0.012452707,0.01365788,,,,0.44,0.001453521,0.001714785,0.001976048,,,,0.44,6.73338E-05,9.38812E-05,0.000120429,,,
0.45,0.855689335,0.864155215,0.872621094,,,,0.45,0.556791143,0.56989309,0.582995038,,,,0.45,0.119831861,0.126791256,0.133750651,,,,0.45,0.011945522,0.013207433,0.014469344,,,,0.45,0.001564077,0.001841679,0.002119282,,,,0.45,7.37004E-05,0.000102401,0.000131101,,,
0.46,0.859155486,0.867430774,0.875706062,,,,0.46,0.563896694,0.576853684,0.589810674,,,,0.46,0.124083236,0.131167146,0.138251055,,,,0.46,0.012666851,0.013986359,0.015305866,,,,0.46,0.001679885,0.001974355,0.002268826,,,,0.46,8.04864E-05,0.000111451,0.000142416,,,
0.47,0.862503876,0.870596767,0.878689658,,,,0.47,0.570854032,0.583666976,0.59647992,,,,0.47,0.128361741,0.135567055,0.142772369,,,,0.47,0.013411533,0.014789458,0.016167382,,,,0.47,0.001801033,0.002112898,0.002424763,,,,0.47,8.77072E-05,0.00012105,0.000154394,,,
