D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.49,0.869621918,0.883066023,0.896510129,,,,0.49,0.579612537,0.600073947,0.620535357,,,,0.49,0.112042733,0.123608221,0.135173709,,,,0.49,0.00789073,0.00969802,0.011505309,,,,0.49,0.000482964,0.000686996,0.000891027,,,,0.49,1.43609E-05,2.93984E-05,4.44359E-05,,,
0.5,0.873115882,0.886263236,0.89941059,,,,0.5,0.586318118,0.60657242,0.626826723,,,,0.5,0.115936851,0.127706234,0.139475616,,,,0.5,0.008390582,0.010285206,0.012179829,,,,0.5,0.000523771,0.000741985,0.000960199,,,,0.5,1.59248E-05,3.23045E-05,4.86841E-05,,,
0.51,0.876486518,0.889350448,0.902214378,,,,0.51,0.592882416,0.612931858,0.6329813,,,,0.51,0.11986104,0.131829755,0.143798471,,,,0.51,0.008909196,0.010892879,0.012876561,,,,0.51,0.000566971,0.000799973,0.001032975,,,,0.51,1.7617E-05,3.54235E-05,5.323E-05,,,
0.52,0.879739295,0.892332448,0.9049256,,,,0.52,0.599309114,0.619156049,0.639002984,,,,0.52,0.123813814,0.135977302,0.14814079,,,,0.52,0.009446736,0.01152116,0.013595583,,,,0.52,0.00061264,0.000861043,0.001109445,,,,0.52,1.94447E-05,3.87658E-05,5.80869E-05,,,
0.53,0.882879391,0.89521376,0.907548129,,,,0.53,0.605601788,0.625248657,0.644895526,,,,0.53,0.127793731,0.140147437,0.152501143,,,,0.53,0.010003357,0.012170161,0.014336964,,,,0.53,0.000660854,0.000925277,0.001189701,,,,0.53,2.14149E-05,4.23414E-05,6.3268E-05,,,
0.54,0.885911711,0.897998665,0.910085619,,,,0.54,0.611763907,0.631213225,0.650662544,,,,0.54,0.131799385,0.144338765,0.156878145,,,,0.54,0.010579202,0.012839982,0.015100762,,,,0.54,0.000711689,0.00099276,0.00127383,,,,0.54,2.35353E-05,4.61611E-05,6.87868E-05,,,
0.55,0.888840906,0.900691214,0.912541523,,,,0.55,0.617798834,0.637053179,0.656307524,,,,0.55,0.135829407,0.148549934,0.161270461,,,,0.55,0.011174408,0.013530716,0.015887023,,,,0.55,0.00076522,0.001063571,0.001361922,,,,0.55,2.58134E-05,5.02353E-05,7.46573E-05,,,
0.56,0.891671386,0.903295248,0.914919109,,,,0.56,0.623709837,0.642771833,0.661833828,,,,0.56,0.139882469,0.152779633,0.165676798,,,,0.56,0.0117891,0.014242442,0.016695784,,,,0.56,0.000821523,0.001137793,0.001454063,,,,0.56,2.82571E-05,5.45751E-05,8.08931E-05,,,
0.57,0.894407337,0.905814403,0.91722147,,,,0.57,0.629500083,0.648372393,0.667244703,,,,0.57,0.143957274,0.157026592,0.17009591,,,,0.57,0.012423393,0.014975233,0.017527072,,,,0.57,0.000880674,0.001215506,0.001550339,,,,0.57,3.08742E-05,5.91914E-05,8.75086E-05,,,
0.58,0.897052733,0.908252134,0.919451535,,,,0.58,0.635172647,0.653857962,0.672543278,,,,0.58,0.148052563,0.161289578,0.174526592,,,,0.58,0.013077396,0.01572915,0.018380905,,,,0.58,0.000942747,0.001296791,0.001650835,,,,0.58,3.3673E-05,6.40954E-05,9.45178E-05,,,
0.59,0.899611349,0.910611718,0.921612086,,,,0.59,0.640730511,0.659231544,0.677732578,,,,0.59,0.152167113,0.165567397,0.178967682,,,,0.59,0.013751206,0.016504248,0.01925729,,,,0.59,0.001007817,0.001381726,0.001755635,,,,0.59,3.66618E-05,6.92986E-05,0.000101935,,,
0.6,0.902086772,0.912896268,0.923705763,,,,0.6,0.64617657,0.664496046,0.682815522,,,,0.6,0.15629973,0.169858892,0.183418055,,,,0.6,0.014444912,0.017300569,0.020156226,,,,0.6,0.001075957,0.00147039,0.001864822,,,,0.6,3.98492E-05,7.48124E-05,0.000109776,,,
0.61,0.904482413,0.915108744,0.925735075,,,,0.61,0.651513633,0.669654282,0.68779493,,,,0.61,0.160449255,0.174162941,0.187876627,,,,0.61,0.015158597,0.01811815,0.021077704,,,,0.61,0.001147243,0.00156286,0.001978477,,,,0.61,4.32436E-05,8.06486E-05,0.000118054,,,
0.62,0.906801516,0.917251962,0.927702408,,,,0.62,0.656744427,0.674708978,0.692673528,,,,0.62,0.164614562,0.178478455,0.192342349,,,,0.62,0.015892331,0.018957018,0.022021705,,,,0.62,0.001221746,0.001659213,0.002096679,,,,0.62,4.68541E-05,8.6819E-05,0.000126784,,,
0.63,0.909047167,0.919328601,0.929610036,,,,0.63,0.661871597,0.679662774,0.697453952,,,,0.63,0.168794554,0.182804381,0.196814209,,,,0.63,0.01664618,0.019817192,0.022988204,,,,0.63,0.001299541,0.001759525,0.002219509,,,,0.63,5.06895E-05,9.33355E-05,0.000135982,,,
0.64,0.911222304,0.921341213,0.931460123,,,,0.64,0.666897713,0.68451823,0.702138747,,,,0.64,0.172988165,0.187139697,0.201291229,,,,0.64,0.0174202,0.020698683,0.023977166,,,,0.64,0.001380698,0.001863871,0.002347044,,,,0.64,5.4759E-05,0.00010021,0.000145662,,,
0.65,0.913329725,0.923292229,0.933254734,,,,0.65,0.671825266,0.689277822,0.706730378,,,,0.65,0.177194357,0.191483412,0.205772467,,,,0.65,0.018214439,0.021601494,0.024988549,,,,0.65,0.00146529,0.001972325,0.00247936,,,,0.65,5.90719E-05,0.000107456,0.00015584,,,
0.66,0.915372094,0.925183967,0.93499584,,,,0.66,0.676656677,0.693943953,0.711231229,,,,0.66,0.181412122,0.195834566,0.21025701,,,,0.66,0.019028938,0.022525621,0.026022305,,,,0.66,0.001553389,0.00208496,0.002616531,,,,0.66,6.36375E-05,0.000115084,0.000166531,,,
0.67,0.917351951,0.927018637,0.936685322,,,,0.67,0.681394297,0.698518951,0.715643606,,,,0.67,0.18564048,0.20019223,0.214743979,,,,0.67,0.01986373,0.023471053,0.027078377,,,,0.67,0.001645064,0.002201848,0.002758633,,,,0.67,6.84656E-05,0.000123108,0.00017775,,,
0.68,0.919271717,0.928798349,0.93832498,,,,0.68,0.686040407,0.703005074,0.719969742,,,,0.68,0.189878478,0.204555501,0.219232523,,,,0.68,0.020718841,0.024437772,0.028156702,,,,0.68,0.001740385,0.002323061,0.002905737,,,,0.68,7.35657E-05,0.00013154,0.000189514,,,
0.69,0.921133699,0.930525117,0.939916534,,,,0.69,0.690597222,0.70740451,0.724211798,,,,0.69,0.194125189,0.208923506,0.223721823,,,,0.69,0.021594291,0.025425751,0.02925721,,,,0.69,0.001839421,0.002448668,0.003057915,,,,0.69,7.89479E-05,0.000140392,0.000201837,,,
0.7,0.922940098,0.932200865,0.941461631,,,,0.7,0.695066895,0.711719382,0.728371868,,,,0.7,0.198379711,0.213295399,0.228211087,,,,0.7,0.02249009,0.026434958,0.030379827,,,,0.7,0.001942242,0.002578738,0.003215235,,,,0.7,8.46219E-05,0.000149679,0.000214736,,,
