D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.48,0.835741823,0.841387705,0.847033587,,,,0.48,0.623137016,0.631119179,0.639101341,,,,0.48,0.090710947,0.094815028,0.09891911,,,,0.48,0.004253468,0.00476514,0.005276812,,,,0.48,0.000945079,0.001096621,0.001248164,,,,0.48,1.28661E-05,1.65474E-05,2.02287E-05,,,
0.49,0.840738159,0.846275398,0.851812637,,,,0.49,0.632132492,0.639992249,0.647852005,,,,0.49,0.095952953,0.100172727,0.104392501,,,,0.49,0.004697674,0.005252713,0.005807752,,,,0.49,0.001057941,0.00122466,0.001391379,,,,0.49,1.48529E-05,1.90426E-05,2.32324E-05,,,
0.5,0.845509753,0.850944004,0.856378255,,,,0.5,0.640826189,0.648567258,0.656308328,,,,0.5,0.101313765,0.105645026,0.109976288,,,,0.5,0.005173863,0.005774376,0.00637489,,,,0.5,0.00118061,0.001363492,0.001546373,,,,0.5,1.70824E-05,2.1834E-05,2.65857E-05,,,
0.51,0.850069503,0.855405935,0.860742367,,,,0.51,0.649229436,0.656855483,0.664481529,,,,0.51,0.106788865,0.111227253,0.11566564,,,,0.51,0.005683176,0.006331272,0.006979368,,,,0.51,0.001313591,0.001513645,0.0017137,,,,0.51,1.95763E-05,2.4947E-05,3.03177E-05,,,
0.52,0.854429446,0.859672786,0.864916125,,,,0.52,0.657353236,0.664867853,0.67238247,,,,0.52,0.112373656,0.116914674,0.121455693,,,,0.52,0.006226731,0.00692451,0.007622289,,,,0.52,0.001457394,0.001675651,0.001893909,,,,0.52,2.23572E-05,2.8408E-05,3.44589E-05,,,
0.53,0.858600814,0.863755388,0.868909961,,,,0.53,0.665208253,0.672614946,0.68002164,,,,0.53,0.118063469,0.122702516,0.127341562,,,,0.53,0.006805616,0.007555168,0.008304719,,,,0.53,0.001612529,0.001850038,0.002087548,,,,0.53,2.54491E-05,3.22451E-05,3.90411E-05,,,
0.54,0.862594097,0.867663869,0.872733641,,,,0.54,0.6728048,0.680106979,0.687409157,,,,0.54,0.123853587,0.128585972,0.133318357,,,,0.54,0.007420891,0.008224288,0.009027686,,,,0.54,0.001779506,0.002037334,0.002295161,,,,0.54,2.8877E-05,3.64872E-05,4.40974E-05,,,
0.55,0.866419095,0.871407703,0.87639631,,,,0.55,0.680152838,0.687353805,0.694554773,,,,0.55,0.129739246,0.134560216,0.139381186,,,,0.55,0.00807358,0.008932877,0.009792175,,,,0.55,0.001958836,0.002238061,0.002517287,,,,0.55,3.2667E-05,4.11646E-05,4.96622E-05,,,
0.56,0.870084968,0.874995753,0.879906538,,,,0.56,0.687261971,0.69436492,0.701467868,,,,0.56,0.135715659,0.140620417,0.145525176,,,,0.56,0.008764677,0.009681901,0.010599125,,,,0.56,0.002151025,0.002452742,0.002754458,,,,0.56,3.68463E-05,4.63088E-05,5.57713E-05,,,
0.57,0.873600283,0.878436321,0.883272359,,,,0.57,0.694141452,0.701149459,0.708157466,,,,0.57,0.141778019,0.146761748,0.151745476,,,,0.57,0.009495134,0.010472282,0.011449431,,,,0.57,0.002356577,0.002681889,0.003007201,,,,0.57,4.14435E-05,5.19525E-05,6.24616E-05,,,
0.58,0.876973056,0.881737183,0.886501309,,,,0.58,0.70080018,0.707716207,0.714632234,,,,0.58,0.147921514,0.152979393,0.158037271,,,,0.58,0.010265867,0.011304903,0.01234394,,,,0.58,0.002575991,0.002926011,0.003276031,,,,0.58,4.64879E-05,5.81296E-05,6.97713E-05,,,
0.59,0.880210794,0.884905627,0.88960046,,,,0.59,0.707246714,0.714073605,0.720900496,,,,0.59,0.15414134,0.159268564,0.164395788,,,,0.59,0.01107775,0.012180599,0.013283449,,,,0.59,0.002809762,0.003185609,0.003561456,,,,0.59,5.20101E-05,6.48749E-05,7.77396E-05,,,
0.6,0.883320528,0.88794849,0.892576451,,,,0.6,0.713489271,0.720229755,0.72697024,,,,0.6,0.160432707,0.165624506,0.170816304,,,,0.6,0.011931614,0.013100161,0.014268707,,,,0.6,0.003058376,0.003461174,0.003863972,,,,0.6,5.80417E-05,7.22245E-05,8.64073E-05,,,
0.61,0.886308851,0.890872187,0.895435523,,,,0.61,0.719535743,0.726192434,0.732849125,,,,0.61,0.16679085,0.172042504,0.177294158,,,,0.61,0.012828249,0.014064328,0.015300408,,,,0.61,0.003322313,0.003753188,0.004184063,,,,0.61,6.46154E-05,8.02156E-05,9.58158E-05,,,
0.62,0.889181944,0.893682742,0.898183539,,,,0.62,0.725393698,0.731969098,0.738544498,,,,0.62,0.17321104,0.178517896,0.183824752,,,,0.62,0.013768395,0.015073796,0.016379197,,,,0.62,0.003602043,0.004062122,0.004522201,,,,0.62,7.17648E-05,8.88863E-05,0.000106008,,,
0.63,0.891945611,0.896385813,0.900826014,,,,0.63,0.731070397,0.737566898,0.7440634,,,,0.63,0.17968859,0.185046076,0.190403562,,,,0.63,0.01475275,0.016129207,0.017505665,,,,0.63,0.003898028,0.004388436,0.004878844,,,,0.63,7.95247E-05,9.82759E-05,0.000117027,,,
0.64,0.894605301,0.898986719,0.903368138,,,,0.64,0.736572797,0.742992687,0.749412577,,,,0.64,0.186218867,0.191622505,0.197026144,,,,0.64,0.015781962,0.017231155,0.018680348,,,,0.64,0.004210719,0.004732577,0.005254436,,,,0.64,8.79305E-05,0.000108424,0.000128918,,,
0.65,0.897166134,0.901490465,0.905814796,,,,0.65,0.741907567,0.74825303,0.754598494,,,,0.65,0.192797293,0.198242713,0.203688134,,,,0.65,0.016856632,0.01838018,0.019903729,,,,0.65,0.004540554,0.005094979,0.005649405,,,,0.65,9.70187E-05,0.000119373,0.000141727,,,
0.66,0.899632927,0.903901759,0.908170591,,,,0.66,0.747081095,0.753354218,0.759627341,,,,0.66,0.199419358,0.204902309,0.21038526,,,,0.66,0.017977311,0.019576775,0.021176238,,,,0.66,0.004887961,0.005476062,0.006064164,,,,0.66,0.000106827,0.000131163,0.0001555,,,
0.67,0.902010209,0.906225034,0.910439858,,,,0.67,0.752099501,0.758302276,0.76450505,,,,0.67,0.206080625,0.211596983,0.217113342,,,,0.67,0.019144503,0.020821377,0.02249825,,,,0.67,0.005253354,0.005876231,0.006499108,,,,0.67,0.000117393,0.000143838,0.000170284,,,
0.68,0.904302245,0.908464467,0.912626689,,,,0.68,0.756968646,0.763102973,0.7692373,,,,0.68,0.212776733,0.218322515,0.223868296,,,,0.68,0.020358661,0.022114373,0.023870085,,,,0.68,0.005637134,0.006295876,0.006954617,,,,0.68,0.000128757,0.000157442,0.000186127,,,
0.69,0.906513053,0.910623997,0.914734941,,,,0.69,0.761694141,0.767761836,0.773829531,,,,0.69,0.219503408,0.225074774,0.23064614,,,,0.69,0.021620188,0.023456099,0.02529201,,,,0.69,0.006039687,0.006735369,0.007431051,,,,0.69,0.000140957,0.000172017,0.000203078,,,
0.7,0.908646418,0.912707337,0.916768256,,,,0.7,0.76628136,0.772284156,0.778286952,,,,0.7,0.22625646,0.231849727,0.237442993,,,,0.7,0.022929436,0.024846838,0.026764239,,,,0.7,0.006461385,0.007195069,0.007928753,,,,0.7,0.000154035,0.00018761,0.000221186,,,
0.71,0.910705912,0.914717992,0.918730072,,,,0.71,0.770735448,0.776674999,0.782614551,,,,0.71,0.233031795,0.238643439,0.244255082,,,,0.71,0.024286711,0.026286822,0.028286933,,,,0.71,0.006902585,0.007675316,0.008448047,,,,0.71,0.000168031,0.000204266,0.000240502,,,
0.72,0.912694905,0.916659273,0.92062364,,,,0.72,0.775061333,0.780939219,0.786817106,,,,0.72,0.239825417,0.245452078,0.25107874,,,,0.72,0.025692267,0.027776233,0.029860199,,,,0.72,0.007363625,0.008176432,0.008989238,,,,0.72,0.000182988,0.000222032,0.000261075,,,
0.73,0.914616578,0.918534305,0.922452032,,,,0.73,0.779263731,0.785081462,0.790899193,,,,0.73,0.246633427,0.252271918,0.257910409,,,,0.73,0.027146308,0.029315202,0.031484096,,,,0.73,0.007844832,0.008698722,0.009552613,,,,0.73,0.000198948,0.000240953,0.000282957,,,
0.74,0.916473939,0.920346045,0.924218151,,,,0.74,0.783347159,0.789106178,0.794865196,,,,0.74,0.253452034,0.259099339,0.264746644,,,,0.74,0.028648991,0.030903809,0.033158628,,,,0.74,0.008346511,0.009242474,0.010138437,,,,0.74,0.000215954,0.000261076,0.000306199,,,
