Fatalities,,,,parameters of the mean loss curve,,
Run-up [m],mean-1sigma loss curve,mean loss curve,mean+1sigma loss curve,median,logarithmic standard deviation,epistemic uncertainty
3.71,0.006362234,0.007913621,0.009465007,,,
3.72,0.006425535,0.007985189,0.009544843,,,
3.73,0.006489216,0.008057135,0.009625054,,,
3.74,0.006553277,0.008129458,0.009705639,,,
3.75,0.006617718,0.008202159,0.009786599,,,
3.76,0.006682541,0.008275238,0.009867935,,,
3.77,0.006747745,0.008348695,0.009949645,,,
3.78,0.006813331,0.008422531,0.01003173,,,
3.79,0.0068793,0.008496745,0.01011419,,,
3.8,0.006945651,0.008571338,0.010197024,,,
3.81,0.007012385,0.008646309,0.010280233,,,
3.82,0.007079504,0.00872166,0.010363817,,,
3.83,0.007147006,0.00879739,0.010447775,,,
3.84,0.007214892,0.0088735,0.010532108,,,
3.85,0.007283163,0.008949989,0.010616815,,,
3.86,0.00735182,0.009026858,0.010701896,,,
3.87,0.007420861,0.009104107,0.010787352,,,
3.88,0.007490289,0.009181735,0.010873182,,,
3.89,0.007560103,0.009259744,0.010959385,,,
3.9,0.007630303,0.009338133,0.011045963,,,
3.91,0.007700891,0.009416902,0.011132914,,,
3.92,0.007771865,0.009496052,0.011220239,,,
3.93,0.007843227,0.009575582,0.011307938,,,
3.94,0.007914977,0.009655493,0.01139601,,,
3.95,0.007987115,0.009735785,0.011484456,,,
3.96,0.008059641,0.009816458,0.011573274,,,
3.97,0.008132556,0.009897511,0.011662466,,,
3.98,0.008205861,0.009978946,0.011752031,,,
3.99,0.008279554,0.010060761,0.011841968,,,
4,0.008353637,0.010142958,0.011932279,,,
4.01,0.00842811,0.010225536,0.012022961,,,
4.02,0.008502974,0.010308495,0.012114016,,,
4.03,0.008578227,0.010391835,0.012205444,,,
4.04,0.008653872,0.010475557,0.012297243,,,
4.05,0.008729907,0.01055966,0.012389414,,,
4.06,0.008806333,0.010644145,0.012481957,,,
4.07,0.008883151,0.010729011,0.012574871,,,
4.08,0.00896036,0.010814259,0.012668157,,,
4.09,0.009037962,0.010899888,0.012761814,,,
4.1,0.009115955,0.010985898,0.012855842,,,
4.11,0.009194341,0.011072291,0.01295024,,,
4.12,0.009273119,0.011159064,0.01304501,,,
4.13,0.00935229,0.01124622,0.013140149,,,
4.14,0.009431854,0.011333756,0.013235659,,,
4.15,0.009511811,0.011421675,0.013331539,,,
4.16,0.009592161,0.011509974,0.013427788,,,
4.17,0.009672904,0.011598656,0.013524407,,,
4.18,0.009754042,0.011687719,0.013621396,,,
4.19,0.009835573,0.011777163,0.013718753,,,
4.2,0.009917497,0.011866989,0.01381648,,,
4.21,0.009999817,0.011957196,0.013914575,,,
4.22,0.01008253,0.012047784,0.014013038,,,
4.23,0.010165637,0.012138754,0.01411187,,,
4.24,0.01024914,0.012230105,0.014211069,,,
4.25,0.010333037,0.012321837,0.014310637,,,
4.26,0.010417328,0.01241395,0.014410571,,,
4.27,0.010502015,0.012506444,0.014510873,,,
4.28,0.010587096,0.012599319,0.014611542,,,
4.29,0.010672573,0.012692576,0.014712578,,,
4.3,0.010758445,0.012786213,0.01481398,,,
4.31,0.010844712,0.01288023,0.014915748,,,
4.32,0.010931375,0.012974629,0.015017882,,,
4.33,0.011018433,0.013069408,0.015120382,,,
4.34,0.011105887,0.013164567,0.015223247,,,
4.35,0.011193737,0.013260107,0.015326477,,,
4.36,0.011281982,0.013356027,0.015430072,,,
4.37,0.011370623,0.013452328,0.015534032,,,
4.38,0.01145966,0.013549008,0.015638356,,,
4.39,0.011549093,0.013646068,0.015743043,,,
4.4,0.011638922,0.013743508,0.015848094,,,
4.41,0.011729147,0.013841328,0.015953509,,,
4.42,0.011819768,0.013939528,0.016059287,,,
4.43,0.011910786,0.014038106,0.016165427,,,
4.44,0.012002199,0.014137065,0.01627193,,,
4.45,0.012094008,0.014236402,0.016378795,,,
4.46,0.012186214,0.014336118,0.016486022,,,
4.47,0.012278816,0.014436213,0.01659361,,,
4.48,0.012371814,0.014536687,0.01670156,,,
4.49,0.012465209,0.014637539,0.01680987,,,
4.5,0.012558999,0.01473877,0.016918541,,,
4.51,0.012653186,0.014840379,0.017027572,,,
4.52,0.012747769,0.014942366,0.017136963,,,
4.53,0.012842748,0.015044731,0.017246714,,,
4.54,0.012938124,0.015147474,0.017356824,,,
4.55,0.013033895,0.015250594,0.017467292,,,
4.56,0.013130063,0.015354091,0.01757812,,,
4.57,0.013226627,0.015457966,0.017689305,,,
4.58,0.013323587,0.015562218,0.017800849,,,
4.59,0.013420942,0.015666846,0.017912749,,,
4.6,0.013518694,0.015771851,0.018025007,,,
4.61,0.013616842,0.015877232,0.018137622,,,
4.62,0.013715386,0.01598299,0.018250593,,,
4.63,0.013814325,0.016089123,0.018363921,,,
4.64,0.01391366,0.016195632,0.018477604,,,
4.65,0.014013391,0.016302517,0.018591642,,,
4.66,0.014113517,0.016409777,0.018706036,,,
4.67,0.014214039,0.016517412,0.018820784,,,
4.68,0.014314957,0.016625421,0.018935886,,,
4.69,0.014416269,0.016733806,0.019051342,,,
4.7,0.014517977,0.016842565,0.019167152,,,
4.71,0.01462008,0.016951698,0.019283315,,,
4.72,0.014722578,0.017061205,0.019399831,,,
4.73,0.014825472,0.017171085,0.019516699,,,
4.74,0.014928759,0.017281339,0.019633919,,,
4.75,0.015032442,0.017391966,0.01975149,,,
4.76,0.015136519,0.017502966,0.019869413,,,
4.77,0.015240991,0.017614339,0.019987687,,,
4.78,0.015345857,0.017726084,0.020106311,,,
4.79,0.015451117,0.017838201,0.020225285,,,
4.8,0.015556771,0.01795069,0.020344609,,,
4.81,0.01566282,0.018063551,0.020464282,,,
4.82,0.015769262,0.018176783,0.020584304,,,
4.83,0.015876097,0.018290386,0.020704675,,,
4.84,0.015983327,0.01840436,0.020825393,,,
4.85,0.016090949,0.018518704,0.020946459,,,
4.86,0.016198965,0.018633419,0.021067872,,,
4.87,0.016307374,0.018748503,0.021189632,,,
4.88,0.016416175,0.018863957,0.021311739,,,
4.89,0.016525369,0.01897978,0.021434191,,,
4.9,0.016634956,0.019095973,0.021556989,,,
4.91,0.016744935,0.019212534,0.021680132,,,
4.92,0.016855306,0.019329463,0.02180362,,,
4.93,0.016966069,0.019446761,0.021927452,,,
4.94,0.017077224,0.019564426,0.022051628,,,
4.95,0.017188771,0.019682459,0.022176148,,,
4.96,0.017300709,0.019800859,0.02230101,,,
4.97,0.017413037,0.019919626,0.022426215,,,
4.98,0.017525757,0.02003876,0.022551762,,,
4.99,0.017638868,0.02015826,0.022677651,,,
5,0.017752369,0.020278125,0.022803881,,,
5.01,0.017866261,0.020398357,0.022930452,,,
5.02,0.017980542,0.020518953,0.023057364,,,
5.03,0.018095213,0.020639914,0.023184615,,,
5.04,0.018210274,0.02076124,0.023312206,,,
5.05,0.018325725,0.020882931,0.023440136,,,
5.06,0.018441564,0.021004985,0.023568405,,,
5.07,0.018557793,0.021127402,0.023697012,,,
5.08,0.01867441,0.021250183,0.023825956,,,
5.09,0.018791416,0.021373327,0.023955238,,,
5.1,0.018908809,0.021496833,0.024084857,,,
5.11,0.019026591,0.021620701,0.024214812,,,
5.12,0.01914476,0.021744932,0.024345103,,,
5.13,0.019263317,0.021869523,0.024475729,,,
5.14,0.019382261,0.021994476,0.024606691,,,
5.15,0.019501592,0.022119789,0.024737987,,,
5.16,0.019621309,0.022245463,0.024869617,,,
5.17,0.019741413,0.022371497,0.025001581,,,
5.18,0.019861902,0.02249789,0.025133878,,,
5.19,0.019982778,0.022624642,0.025266507,,,
5.2,0.020104039,0.022751754,0.025399469,,,
5.21,0.020225685,0.022879224,0.025532763,,,
5.22,0.020347716,0.023007052,0.025666388,,,
5.23,0.020470131,0.023135237,0.025800343,,,
5.24,0.020592931,0.02326378,0.025934629,,,
5.25,0.020716115,0.02339268,0.026069245,,,
5.26,0.020839683,0.023521937,0.026204191,,,
5.27,0.020963634,0.02365155,0.026339465,,,
5.28,0.021087968,0.023781518,0.026475068,,,
5.29,0.021212685,0.023911842,0.026610999,,,
5.3,0.021337784,0.024042521,0.026747257,,,
5.31,0.021463266,0.024173554,0.026883842,,,
5.32,0.021589129,0.024304942,0.027020754,,,
5.33,0.021715374,0.024436683,0.027157992,,,
5.34,0.021842,0.024568778,0.027295556,,,
5.35,0.021969007,0.024701225,0.027433444,,,
